id,name,cnpj,university_id
1,CPFL Piratininga,04.172.213/0001-51,1
2,ENEL SP,61.695.227/0001-93,1
3,EDP SP,02.302.100/0001-06,1
4,CEMIG-D,06.981.180/0001-16,2
5,Energisa MS,15.413.826/0204-28,3
6,Energisa MS,15.413.826/0204-28,4
7,Neoenergia Pernambuco,10.835.932/0001-08,5
8,ENEL CE,07.047.251/0001-70,6
9,Energisa RO,05.914.650/0001-66,7
10,Equatorial PA,04.895.728/0001-80,8
11,CELESC-DIS,08.336.783/0001-90,9
12,COPEL-DIS,04.368.898/0001-06,10
13,CPFL Piratininga,04.172.213/0001-51,11
14,Neoenergia Elektro,02.328.280/0001-97,11
15,CPFL Paulista,33.050.196/0001-88,11
16,Roraima Energia,02.341.470/0001-44,12
17,Copel-DIS,04.368.898/0001-06,13
